"","treeID","tree_height_m","tree_x","tree_y","crown_area_m2","tree_cbh_m","is_training_cbh","Date","Plot","Start_Time","End_Time","X","Y","U","stdeast","stdnorth","stdu","RMSE","RMSN","RMSU","Method","notes","BUFF_DIST","ORIG_FID","Shape_Leng","Shape_Area"
"350","11903_400071.5_4033198.5",13.460000038147,400071.5,4033198.5,39,4.5,TRUE,815,99,"9:17","9:47",36.438835079,-106.11502848,2498.8384,0.1762,0.213,1.9309,0.1762,0.213,1.9308,"static",NA,11.3,96,0.000716957471877,0.0000000401143663733
"351","11941_400001.5_4033197.5",22.7199993133545,400001.5,4033197.5,131,3.5,TRUE,816,108,"5:20","5:49",36.438917279,-106.115567485,2498.0606,0.4602,0.4931,1.2474,0.4602,0.4931,1.2473,"static",NA,11.3,105,0.000716957471852,0.0000000401143663709
"352","11943_400058.5_4033197.5",13.039999961853,400058.5,4033197.5,26,3.5,TRUE,815,99,"9:17","9:47",36.438835079,-106.11502848,2498.8384,0.1762,0.213,1.9309,0.1762,0.213,1.9308,"static",NA,11.3,96,0.000716957471877,0.0000000401143663733
"353","11985_400062.5_4033196.5",15.3599996566772,400062.5,4033196.5,53,4.5,TRUE,815,99,"9:17","9:47",36.438835079,-106.11502848,2498.8384,0.1762,0.213,1.9309,0.1762,0.213,1.9308,"static",NA,11.3,96,0.000716957471877,0.0000000401143663733
"354","12054_400073.5_4033194.5",8.96000003814697,400073.5,4033194.5,24,3.92226965094456,FALSE,815,99,"9:17","9:47",36.438835079,-106.11502848,2498.8384,0.1762,0.213,1.9309,0.1762,0.213,1.9308,"static",NA,11.3,96,0.000716957471877,0.0000000401143663733
"355","12141_400058.5_4033192.5",12.5200004577637,400058.5,4033192.5,20,6.5,TRUE,815,99,"9:17","9:47",36.438835079,-106.11502848,2498.8384,0.1762,0.213,1.9309,0.1762,0.213,1.9308,"static",NA,11.3,96,0.000716957471877,0.0000000401143663733
"356","12178_400049.5_4033191.5",13.6899995803833,400049.5,4033191.5,36,5.5,TRUE,815,99,"9:17","9:47",36.438835079,-106.11502848,2498.8384,0.1762,0.213,1.9309,0.1762,0.213,1.9308,"static",NA,11.3,96,0.000716957471877,0.0000000401143663733
"357","12215_400061.5_4033190.5",12.5600004196167,400061.5,4033190.5,44,3.5,TRUE,815,99,"9:17","9:47",36.438835079,-106.11502848,2498.8384,0.1762,0.213,1.9309,0.1762,0.213,1.9308,"static",NA,11.3,96,0.000716957471877,0.0000000401143663733
"358","12216_400072.5_4033190.5",16.3400001525879,400072.5,4033190.5,52,9.5,TRUE,815,99,"9:17","9:47",36.438835079,-106.11502848,2498.8384,0.1762,0.213,1.9309,0.1762,0.213,1.9308,"static",NA,11.3,96,0.000716957471877,0.0000000401143663733
"359","12264_400056.5_4033189.5",11.6099996566772,400056.5,4033189.5,33,3.5,TRUE,815,99,"9:17","9:47",36.438835079,-106.11502848,2498.8384,0.1762,0.213,1.9309,0.1762,0.213,1.9308,"static",NA,11.3,96,0.000716957471877,0.0000000401143663733
"360","12343_400065.5_4033187.5",10.5500001907349,400065.5,4033187.5,38,2.5,TRUE,815,99,"9:17","9:47",36.438835079,-106.11502848,2498.8384,0.1762,0.213,1.9309,0.1762,0.213,1.9308,"static",NA,11.3,96,0.000716957471877,0.0000000401143663733
"361","13062_400102.5_4033170.5",17.4099998474121,400102.5,4033170.5,47,13.5,TRUE,817,109,"9:50","10:29",36.438452642,-106.114447421,2498.0174,1.1787,0.591,1.5494,1.1787,0.5909,1.5493,"static",NA,11.3,106,0.000716954925308,0.0000000401141249814
"362","13144_400119.5_4033168.5",20.7399997711182,400119.5,4033168.5,87,2.5,TRUE,817,109,"9:50","10:29",36.438452642,-106.114447421,2498.0174,1.1787,0.591,1.5494,1.1787,0.5909,1.5493,"static",NA,11.3,106,0.000716954925308,0.0000000401141249814
"363","13261_400111.5_4033165.5",20.3700008392334,400111.5,4033165.5,82,8.5,TRUE,817,109,"9:50","10:29",36.438452642,-106.114447421,2498.0174,1.1787,0.591,1.5494,1.1787,0.5909,1.5493,"static",NA,11.3,106,0.000716954925308,0.0000000401141249814
"364","13372_400104.5_4033162.5",9.3100004196167,400104.5,4033162.5,26,2.5,TRUE,817,109,"9:50","10:29",36.438452642,-106.114447421,2498.0174,1.1787,0.591,1.5494,1.1787,0.5909,1.5493,"static",NA,11.3,106,0.000716954925308,0.0000000401141249814
